match_name,franchise,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,kshema_trousers_logo_partially_visible,kshema,trousers,logo_partially,visible,0.116962053,606.9090576,426.4018555,695.8009033,490.6954956
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,BKT_jersey_back_logo_clear,BKT,jersey,back_logo,clear,0.950873911,386.4285583,438.8098145,499.8108215,508.2681885
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Valvoline_jersey_sleeve_logo_blurry,Valvoline,jersey,sleeve_logo,blurry,0.126054451,514.0150146,380.2128601,563.7915039,446.1964417
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.69293505,390.2979126,353.193573,419.156189,415.5187683
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,Dream11_jersey_chest_logo_obstructed,Dream11,jersey,chest_logo,obstructed,0.158183247,421.101532,348.4732666,496.0610657,440.4902344
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.142049313,387.9680176,336.5079041,432.6483765,417.2909241
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AstralPipes_jersey_shoulder_logo_partially_visible,AstralPipes,jersey,shoulder_logo_partially,visible,0.30894205,795.4555664,374.2360229,822.5535889,428.4498901
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AvonCycles_trousers_logo_partially_visible,AvonCycles,trousers,logo_partially,visible,0.261915654,878.3068848,517.1917725,940.9179688,574.0955811
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,RayzonSolar_trousers_logo_clear,RayzonSolar,trousers,logo,clear,0.25184837,783.0227661,551.505249,863.0543823,603.0081787
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,RayzonSolar_trousers_logo_partially_visible,RayzonSolar,trousers,logo_partially,visible,0.20807144,782.3731689,552.15625,863.84021,602.612793
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.142752066,802.8656006,368.7831421,838.8040771,429.6472778
Match_69_TATA_IPL_2025_PBKS_vs_MI,Punjab Kings,AllSeasons_jersey_sleeve_logo_blurry,AllSeasons,jersey,sleeve_logo,blurry,0.114998966,794.3999023,373.2536011,822.4836426,429.2339478
